rk,player,age,team,pos,g,mp,bpm,vorp,key,salary,salary_m,band
1,Amen Thompson,23,HOU,PG,79,2953,2.6,3.4,amen thompson,12258609,12.258609,$5-15M
2,Kevin Durant,37,HOU,SF,78,2840,4.5,4.7,kevin durant,43902439,43.902439,Over $30M
3,Desmond Bane,27,ORL,SG,82,2756,1.4,2.3,desmond bane,39446090,39.44609,Over $30M
4,Toumani Camara,25,POR,PF,82,2731,-1,0.7,toumani camara,18080358,18.080358,$15-30M
5,Jabari Smith Jr.,22,HOU,PF,77,2705,-0.7,0.9,jabari smith,23643411,23.643411,$15-30M
6,Mikal Bridges,29,NYK,SF,82,2692,2.7,3.2,mikal bridges,33482145,33.482145,Over $30M
7,Scottie Barnes,24,TOR,PF,80,2681,4.2,4.2,scottie barnes,41754690,41.75469,Over $30M
8,Tyrese Maxey,25,PHI,PG,70,2661,5.4,4.9,tyrese maxey,40770520,40.77052,Over $30M
9,Jamal Murray,28,DEN,PG,75,2652,4.1,4.1,jamal murray,50105628,50.105628,Over $30M
10,Derrick White,31,BOS,SG,77,2625,3.2,3.5,derrick white,30348000,30.348,Over $30M
11,VJ Edgecombe,20,PHI,SG,75,2623,-0.5,1,vj edgecombe,11663880,11.66388,$5-15M
12,Julius Randle,31,MIN,PF,79,2610,1.5,2.3,julius randle,33333334,33.333334,Over $30M
13,Brandon Ingram,28,TOR,SF,77,2604,0.5,1.7,brandon ingram,40000000,40,Over $30M
14,Nickeil Alexander-Walker,27,ATL,SG,78,2603,1.2,2.1,nickeil alexander walker,14403710,14.40371,$5-15M
15,Jalen Brunson,29,NYK,PG,74,2590,3.1,3.3,jalen brunson,37739521,37.739521,Over $30M
16,Payton Pritchard,28,BOS,PG,79,2556,2.3,2.8,payton pritchard,7767857,7.767857,$5-15M
17,Kon Knueppel,20,CHO,SF,81,2551,2.8,3.1,kon knueppel,10516560,10.51656,$5-15M
18,Jalen Johnson,24,ATL,SF,72,2532,4.2,4,jalen johnson,30000000,30,$15-30M
19,Dyson Daniels,22,ATL,SG,76,2520,1.3,2.1,dyson daniels,25000000,25,$15-30M
20,Paolo Banchero,23,ORL,PF,72,2502,1.4,2.1,paolo banchero,41500000,41.5,Over $30M
21,Donte DiVincenzo,29,MIN,SG,82,2494,0.8,1.7,donte divincenzo,12535000,12.535,$5-15M
22,Jaylen Brown,29,BOS,SF,71,2443,3.3,3.3,jaylen brown,57078728,57.078728,Over $30M
23,James Harden,36,2TM,PG,70,2438,3.9,3.6,james harden,30647619,30.647619,Over $30M
24,DeMar DeRozan,36,SAC,PF,77,2406,-0.1,1.1,demar derozan,2449421,2.449421,Under $5M
25,Alperen Şengün,23,HOU,C,72,2398,4.2,3.7,alperen sengun,35642202,35.642202,Over $30M
26,Miles Bridges,27,CHO,PF,77,2387,1.1,1.9,miles bridges,22826087,22.826087,$15-30M
27,Rudy Gobert,33,MIN,C,76,2380,1,1.8,rudy gobert,36500000,36.5,Over $30M
28,Ryan Rollins,23,MIL,PG,74,2376,0.2,1.3,ryan rollins,4000000,4,Under $5M
29,Bam Adebayo,28,MIA,C,73,2365,2,2.4,bam adebayo,49800000,49.8,Over $30M
30,Cooper Flagg,19,DAL,SF,70,2344,1.4,2,cooper flagg,14517480,14.51748,$5-15M
31,Donovan Mitchell,29,CLE,SG,70,2342,5.1,4.2,donovan mitchell,50105628,50.105628,Over $30M
32,Trey Murphy III,25,NOP,SF,66,2341,2.4,2.6,trey murphy,27000000,27,$15-30M
33,Brandin Podziemski,22,GSW,SG,82,2333,0.2,1.3,brandin podziemski,5679459,5.679459,$5-15M
34,Karl-Anthony Towns,30,NYK,C,75,2322,3.3,3.1,karl anthony towns,57078728,57.078728,Over $30M
35,Jaden McDaniels,25,MIN,PF,73,2316,-0.3,1,jaden mcdaniels,26200001,26.200001,$15-30M
36,Onyeka Okongwu,25,ATL,C,74,2297,0.7,1.6,onyeka okongwu,16120000,16.12,$15-30M
37,Luka Dončić,26,LAL,PG,64,2289,9.3,6.6,luka doncic,49800000,49.8,Over $30M
38,Wendell Carter Jr.,26,ORL,C,78,2288,-0.6,0.8,wendell carter,18102000,18.102,$15-30M
39,Collin Gillespie,26,PHO,PG,80,2282,2.5,2.6,collin gillespie,10714286,10.714286,$5-15M
40,Bub Carrington,20,WAS,PG,82,2271,-4.7,-1.6,bub carrington,4900560,4.90056,Under $5M
41,A.J. Green,26,MIL,SG,78,2270,-3.3,-0.8,aj green,10044644,10.044644,$5-15M
42,Julian Champagnie,24,SAS,SF,82,2266,1.4,1.9,julian champagnie,13888889,13.888889,$5-15M
43,Nikola Jokić,30,DEN,C,65,2265,14.2,9.2,nikola jokic,59033114,59.033114,Over $30M
44,CJ McCollum,34,2TM,PG,76,2264,-0.3,1,cj mccollum,21000000,21,$15-30M
45,Shai Gilgeous-Alexander,27,OKC,PG,68,2259,11.7,7.8,shai gilgeous alexander,40806150,40.80615,Over $30M
46,Matas Buzelis,21,CHI,PF,77,2248,-1,0.5,matas buzelis,5715360,5.71536,$5-15M
47,Saddiq Bey,26,NOP,SF,72,2246,0.5,1.4,saddiq bey,6440678,6.440678,$5-15M
48,Max Christie,22,DAL,SG,77,2244,-1.5,0.3,max christie,8285714,8.285714,$5-15M
49,De'Aaron Fox,28,SAS,PG,72,2231,2.2,2.4,deaaron fox,49800000,49.8,Over $30M
50,Immanuel Quickley,26,TOR,PG,70,2231,2.4,2.5,immanuel quickley,32500000,32.5,Over $30M
51,Kris Dunn,31,LAC,PG,82,2230,-0.8,0.6,kris dunn,5684800,5.6848,$5-15M
52,OG Anunoby,28,NYK,PF,67,2224,2,2.3,og anunoby,42500000,42.5,Over $30M
53,Royce O'Neale,32,PHO,SF,78,2213,0.7,1.5,royce oneale,10875000,10.875,$5-15M
54,Quentin Grimes,25,PHI,SG,75,2206,-1.6,0.2,quentin grimes,13953489,13.953489,$5-15M
55,Deni Avdija,25,POR,SF,66,2199,4.3,3.5,deni avdija,13125000,13.125,$5-15M
56,Naji Marshall,28,DAL,SF,74,2184,-0.6,0.8,naji marshall,9428571,9.428571,$5-15M
57,Cade Cunningham,24,DET,PG,64,2172,6.3,4.6,cade cunningham,50105628,50.105628,Over $30M
58,Reed Sheppard,21,HOU,SG,82,2147,2.7,2.5,reed sheppard,11108880,11.10888,$5-15M
59,Devin Booker,29,PHO,SG,64,2146,2.2,2.3,devin booker,57078728,57.078728,Over $30M
60,Anthony Edwards,24,MIN,SG,61,2137,4.5,3.5,anthony edwards,48924624,48.924624,Over $30M
61,Tim Hardaway Jr.,33,DEN,SG,80,2127,-0.7,0.7,tim hardaway,6500000,6.5,$5-15M
62,Jaime Jaquez Jr.,24,MIA,SF,75,2121,0.1,1.1,jaime jaquez,5939141,5.939141,$5-15M
63,Duncan Robinson,31,DET,SG,77,2113,0.8,1.5,duncan robinson,15992957,15.992957,$15-30M
