player,salary,key
Tyrese Haliburton,48924624,tyrese haliburton
Kyrie Irving,39491282,kyrie irving
Damian Lillard,35915403,damian lillard
Fred VanVleet,25000000,fred vanvleet
AJ Dybantsa,14748000,aj dybantsa
Darryn Peterson,13195320,darryn peterson
Cameron Boozer,11849760,cameron boozer
Caleb Wilson,10683720,caleb wilson
Keaton Wagler,9674760,keaton wagler
Mikel Brown Jr.,8787000,mikel brown
Darius Acuff Jr.,8021640,darius acuff
Kingston Flemings,7348680,kingston flemings
Morez Johnson Jr.,6754800,morez johnson
Brayden Burries,6417360,brayden burries
Yaxel Lendeborg,6096240,yaxel lendeborg
Aday Mara,5791680,aday mara
Nate Ament,5502000,nate ament
Hannes Steinbach,5227200,hannes steinbach
Dailyn Swain,4965480,dailyn swain
Thomas Sorber,4887720,thomas sorber
Bennett Stirtz,4717320,bennett stirtz
Ebuka Okorie,4481280,ebuka okorie
Christian Anderson Jr.,4257480,christian anderson
Allen Graves,4065720,allen graves
Jayden Quaintance,3902760,jayden quaintance
Karim López,3746760,karim lopez
Labaron Philon Jr.,3597120,labaron philon
Zuby Ejiofor,3453360,zuby ejiofor
Cameron Carr,3315360,cameron carr
Lonnie Walker IV,3286399,lonnie walker
Sergio de Larrea,3182280,sergio de larrea
Nassir Little,3107143,nassir little
Tarris Reed Jr.,3076920,tarris reed
Tarik Biberovic,3000000,tarik biberovic
Chris Cenac Jr.,2988120,chris cenac
Joshua Jefferson,2969520,joshua jefferson
Alex Karaban,2948280,alex karaban
Koa Peat,2926800,koa peat
Ben Simmons,2449421,ben simmons
Georges Niang,2449421,georges niang
John Butler,2449421,john butler
Mario Hezonja,2449421,mario hezonja
Trey Lyles,2449421,trey lyles
JaVale McGee,2208856,javale mcgee
Alex Toohey,2185116,alex toohey
Baba Miller,1705630,baba miller
Bogoljub Markovic,1357763,bogoljub markovic
Bruce Thornton,1357763,bruce thornton
Christoph Tilly,1357763,christoph tilly
Emanuel Sharp,1357763,emanuel sharp
Henri Veesaar,1357763,henri veesaar
Isaiah Evans,1357763,isaiah evans
Jameer Nelson Jr.,1357763,jameer nelson
J'Vonne Hadley,1357763,jvonne hadley
Khalifa Diop,1357763,khalifa diop
Meleek Thomas,1357763,meleek thomas
Milos Uzan,1357763,milos uzan
Nate Bittle,1357763,nate bittle
Ryan Conwell,1357763,ryan conwell
Saint Thomas,1357763,saint thomas
Tacko Fall,1357763,tacko fall
Trevon Brazile,1357763,trevon brazile
Tucker DeVries,1357763,tucker devries
Will Baker,1357763,will baker
Vasilije Micić,666667,vasilije micic
Mamadi Diakite,464050,mamadi diakite
Ricky Rubio,424672,ricky rubio
Didi Louzada,268032,didi louzada
