player,age,pos,team,years_left,salary_m,proj_vorp,surplus
Victor Wembanyama,22,C,SAS,6,16.9,5.59,30.1
LeBron James,41,SF,LAL,2,3.9,3.09,26.1
Amen Thompson,23,PG,HOU,6,12.3,3.68,21.7
Payton Pritchard,28,PG,BOS,2,7.8,2.97,21.4
Shai Gilgeous-Alexander,27,PG,OKC,5,40.8,7.83,21.3
Neemias Queta,26,C,BOS,5,2.7,2.13,20.8
Kon Knueppel,20,SF,CHO,3,10.5,3.11,19.6
Cam Spencer,25,SG,MEM,3,2.4,1.79,18.8
Nikola Vučević,35,C,2TM,1,2.4,1.77,18.6
Deni Avdija,25,SF,POR,2,13.1,3.22,17.7
Donovan Clingan,21,C,POR,2,7.5,2.35,17.5
Moussa Diabaté,24,C,CHO,1,2.5,1.47,16.6
Ryan Kalkbrenner,24,C,CHO,3,2.4,1.43,16.3
Collin Gillespie,26,PG,PHO,4,10.7,2.61,16
Ajay Mitchell,23,SG,OKC,2,2.9,1.3,15
Kel'el Ware,21,C,MIA,2,4.7,1.57,15
Dru Smith,28,SG,MIA,2,2.6,1.22,14.7
Jay Huff,27,C,IND,2,2.7,1.22,14.6
DeMar DeRozan,36,PF,SAC,1,2.4,1.16,14.5
Craig Porter Jr.,25,PG,CLE,1,2.4,1.13,14.3
Paul Reed,26,C,DET,1,5.6,1.59,14.2
Luka Garza,27,C,BOS,1,2.8,1.17,14.1
Gary Payton II,33,SG,GSW,1,2.4,1.1,14
Bones Hyland,25,PG,MIN,1,2.8,1.13,13.8
Reed Sheppard,21,SG,HOU,2,11.1,2.34,13.8
Ryan Rollins,23,PG,MIL,2,4,1.28,13.7
Ausar Thompson,23,SF,DET,1,11.1,2.33,13.7
Javonte Green,32,SG,DET,1,3.9,1.14,12.8
Brandon Williams,26,PG,DAL,1,2.4,0.91,12.8
Jordan Goodwin,27,PG,PHO,3,5.9,1.41,12.7
Cason Wallace,22,SG,OKC,1,7.4,1.64,12.7
Brandin Podziemski,22,SG,GSW,1,5.7,1.36,12.6
Saddiq Bey,26,SF,NOP,1,6.4,1.43,12.3
Nikola Jokić,30,C,DEN,2,59,9.18,12.2
Baylor Scheierman,25,SG,BOS,2,2.7,0.88,12.2
Luke Kornet,30,C,SAS,3,10.4,2.01,12.2
Jaylin Williams,23,PF,OKC,2,7.8,1.61,12.2
Marvin Bagley III,26,PF,2TM,1,2.4,0.81,12.1
Oso Ighodaro,23,PF,PHO,2,2.3,0.76,11.9
Jaylon Tyson,23,SG,CLE,2,3.7,0.85,11.1
Tre Jones,26,PG,CHI,2,8,1.48,11.1
Josh Minott,23,PF,2TM,2,4.5,0.95,10.9
Kevin Porter Jr.,25,PG,MIL,1,5.4,1.07,10.9
Kyle Anderson,32,SF,3TM,1,2.4,0.59,10.6
Jordan Walsh,21,PF,BOS,4,2.4,0.55,10.4
Sandro Mamukelashvili,26,C,TOR,4,13,2.11,10.3
John Konchar,29,SG,2TM,3,4.5,0.85,10.3
Miles McBride,25,SG,NYK,1,4,0.77,10.3
Jaime Jaquez Jr.,24,SF,MIA,1,5.9,1.04,10.1
Justin Champagnie,24,SF,WAS,2,2.7,0.55,10.1
Karlo Matković,24,PF,NOP,1,2.3,0.49,10
Simone Fontecchio,30,SF,MIA,1,2.4,0.48,9.8
Luke Kennard,29,SG,2TM,2,6.1,0.99,9.7
Thomas Bryant,28,C,CLE,1,2.4,0.42,9.4
Mike Conley,38,PG,MIN,1,2.4,0.41,9.4
Donte DiVincenzo,29,SG,MIN,1,12.5,1.9,9.4
Goga Bitadze,26,C,ORL,1,7.6,1.16,9.3
Micah Potter,27,C,IND,1,2.8,0.42,9.1
Kris Dunn,31,PG,LAC,1,5.7,0.85,9.1
